Ironchest,Thulgur		45	50	Sophmore
Gemheart,Ulgrin			65	85	Junior
Shadowshard,Durthmeck		21	64	Sophmore
Flamebane,Grannoc		96	130	Junior
Orestriker,Bokrimmard		46	130	Freshman
Gunnloda,Loder			117	369	Senior
Quillathe,Meliamne		69	101	Senior
Ellywick,Ningel			23	78	Freshman
Euphemia,Tosscobble		82	93	Senior
Akra,Kepeshkmolik		16	3	Freshman
Neega,Imsh			76	177	Senior
Ea,Reverence			92	219	Junior
Arix,Taklak			112	423	Masters
Aseir,Jassan			14	23	Sophmore
Morn,Tallstag			117	91	Masters
Grigor,Shemov			27	71	Senior
Taman,Windrivver		29	6	Masters
Bareris,Hahpet			120	345	Freshman
Borivik,Murnyethara		44	37	Doctorate
Shui,Sum			85	284	Doctorate
Marcon,Pisacar			22	28	Junior
Lovehammer,Borris		53	4	Freshman
Honorsong,Lyra			90	112	Freshman
Shm'vasa,Jolene			36	86	Freshman
Willems,Clint			93	47	Senior
Quarlani,Glaeth			85	181	Masters
Nazzir,Sharansh			77	128	Freshman
Clanless,Adrik			38	88	Doctorate
Bohb,Skinny			109	93	Junior
Kagonesti,Liadi			116	100	Sophmore
Carter,Raphael			44	48	Senior
Warden,The			70	175	Sophmore
Moradinson,Silvervein		91	294	Doctorate
Medani,Therivol			95	118	Masters
