Login Attempt, Time, IP Address, Success, Username, Password
1,2024-09-12T12:56:18.048100900,123.123.1.1,false,,
1,2024-09-12T13:07:17.926040,123.123.1.1,false,asd,asd
1,2024-09-12T13:09:18.766353100,123.123.1.1,false,asd,asd
1,2024-09-12T13:09:18.980084900,123.123.1.1,false,asd,asd
1,2024-09-12T13:09:19.171259200,123.123.1.1,false,asd,asd
1,2024-09-12T13:09:19.351857800,123.123.1.1,false,asd,asd
1,2024-09-12T13:09:19.542970900,123.123.1.1,false,asd,asd
1,2024-09-12T13:09:19.700596300,123.123.1.1,false,asd,asd
1,2024-09-12T13:09:19.858273800,123.123.1.1,false,asd,asd
1,2024-09-12T13:25:39.015252800,123.123.1.1,false,,
1,2024-09-12T13:26:44.514953700,123.123.1.1,false,,
1,2024-09-12T13:27:18.118394900,123.123.1.1,false,,
test
test
test
test
test
1,2024-09-12T23:38:30.673455100,123.123.1.1,true,sdevadmin,425!pass
1,2024-09-12T23:38:34.101842300,123.123.1.1,true,sdevadmin,425!pass
1,2024-09-12T23:38:48.060957,123.123.1.1,true,sdevadmin,425!pass
1,2024-09-12T23:38:51.180727300,123.123.1.1,true,sdevadmin,425!pass
1,2024-09-12T23:38:52.665315500,123.123.1.1,true,sdevadmin,425!pass
1,2024-09-12T23:38:53.280079400,123.123.1.1,true,sdevadmin,425!pass
1,2024-09-12T23:38:53.512608100,123.123.1.1,true,sdevadmin,425!pass
1,2024-09-12T23:38:53.752720700,123.123.1.1,true,sdevadmin,425!pass
1,2024-09-12T23:38:53.993008900,123.123.1.1,true,sdevadmin,425!pass
1,2024-09-12T23:44:41.038862700,123.123.1.1,false,,
1,2024-09-12T23:44:46.072123,123.123.1.1,false,sdf,sdg
1,2024-09-12T23:44:48.681801500,123.123.1.1,false,sdf,sdg
1,2024-09-12T23:45:14.947231900,123.123.1.1,true,sdevadmin,425!pass
1,2024-09-12T23:51:24.886228800,123.123.1.1,true,sdevadmin,425!pass
1,2024-09-14T11:50:34.446499300,123.123.1.1,false,sdf,sdf
1,2024-09-14T11:51:13.101470300,123.123.1.1,false,sdf,sdf
1,2024-09-14T11:53:00.036375100,123.123.1.1,false,sdf,sdf
1,2024-09-14T11:53:00.223991600,123.123.1.1,false,sdf,sdf
1,2024-09-14T11:53:00.456101900,123.123.1.1,false,sdf,sdf
1,2024-09-14T11:53:00.659324900,123.123.1.1,false,sdf,sdf
